"Oxygenmgl_oxygen","EncCoeff_brains","habitat_breadth","range_area","diet_breadth","FoodIdetritus_fooditems","FoodInekton_fooditems","FoodIothers_fooditems","FoodIplants_fooditems","FoodIzoobenthos_fooditems","FoodIzooplankton_fooditems","Species","haddock_score_mean"
NA,17.0991441939584,NA,29715143.7369095,NA,NA,NA,NA,NA,NA,NA,"Paramormyrops kingsleyae",-116.97295
2.98,1.63808320858283,0.25,23730757.5450827,0.5,"0","1","0","0","1","1","Perca flavescens",-133.70361
NA,NA,NA,23730757.5450827,NA,NA,NA,NA,NA,NA,NA,"Poecilia formosa",-144.96346
NA,NA,0.416666666666667,125081492.894251,0.166666666666667,"0","0","0","1","0","0","Poecilia latipinna",-132.68369
NA,18.708414541948,0,32165230.6017591,0.166666666666667,"1","0","0","0","0","0","Poecilia mexicana",-152.989612
5.9,27.1388888888889,0.166666666666667,133221678.662997,0.166666666666667,"0","0","0","0","1","0","Poecilia reticulata",-143.577615
2.46625,6.83962264150943,0.0833333333333333,48584700.732382,0.666666666666667,"0","1","1","1","1","0","Pygocentrus nattereri",-136.51523
NA,6.00354609929078,0.583333333333333,163420470.286607,0.166666666666667,"0","0","0","1","0","0","Salarias fasciatus",-120.4007
12.3875,NA,0.25,121568388.511317,0.5,"0","1","0","0","1","1","Sander lucioperca",-130.05418
NA,23.2593636363636,0.0833333333333333,30944343.7183699,0.333333333333333,"0","1","0","0","1","0","Scleropages formosus",-123.74117
NA,NA,0.25,279391451.09835,0.5,"0","1","0","0","1","1","Seriola dumerili",-149.39332
NA,NA,0.416666666666667,280023873.570365,0.5,"0","1","0","0","1","1","Seriola lalandi",-156.56712
NA,NA,0,30944343.7183699,NA,NA,NA,NA,NA,NA,NA,"Sinocyclocheilus anshuiensis",-126.93477
NA,NA,NA,30944343.7183699,NA,NA,NA,NA,NA,NA,NA,"Sinocyclocheilus rhinocerous",-135.86953
NA,NA,0.5,31493218.6460955,0.833333333333333,"1","1","0","1","1","1","Sparus aurata",-152.13932
NA,NA,0.166666666666667,32154361.1929799,0.166666666666667,"0","0","0","1","0","0","Stegastes partitus",-122.585664
NA,NA,0.0833333333333333,30944343.7183699,0.333333333333333,"0","1","0","0","1","0","Tachysurus fulvidraco",-127.95488
NA,NA,0.166666666666667,85730966.8474972,NA,NA,NA,NA,NA,NA,NA,"Takifugu rubripes",-125.824196
NA,NA,NA,23730757.5450827,NA,NA,NA,NA,NA,NA,NA,"Xiphophorus couchianus",-150.223802
5.9,NA,0.0833333333333333,133221678.662997,0.666666666666667,"0","1","1","1","1","0","Xiphophorus hellerii",-139.94198
NA,NA,0.0833333333333333,110465075.071051,0.166666666666667,"0","0","0","0","1","0","Xiphophorus maculatus",-138.566583
