"","ClassActinopterygii","ClassAves","ClassMammalia","ClassReptilia","nchar","haddock_score_mean","haddock_score_sd","ForStrat.ground","ForStrat.understory","ForStrat.arboreal","ForStrat.aerial","ForStrat.marine","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","incubation_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","maximum_longevity_y","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","gestation_d","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","range_size","major_habitat_type_breadth","tnc_ecoregion_breadth","AA_30_positive","OrderCarnivora","OrderChiroptera","OrderPasseriformes","OrderPerciformes","OrderPrimates","OrderRodentia","ClassActinopterygii.1","ClassAves.1","ClassMammalia.1","ClassReptilia.1","above_haddock_median"
"16",1,0,0,0,803,-167.815499,4.64819251602277,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,29715143.7369095,0.4375,0.142857142857143,1,0,0,0,1,0,0,1,0,0,0,0
"17",1,0,0,0,805,-143.16457,4.12131946240792,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,23730757.5450827,0.5625,0.297619047619048,0,0,0,0,0,0,0,1,0,0,0,0
"18",0,1,0,0,834,-125.41848,3.13944561977995,1,1,1,0,0,1,0,0,365,365,28,NA,2.07944154167984,1.25,NA,2.18605127673809,NA,5.01462731536579,11,NA,NA,NA,NA,NA,8.7,5.04985600724954,4.98565930802608,5.01063529409626,23,0.3,10997083.9343435,0.8125,0.464285714285714,1,0,0,0,0,0,0,0,1,0,0,1
"19",1,0,0,0,819,-144.39074,3.39580806622911,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17640357.0140121,0.125,0.0357142857142857,1,0,0,0,0,0,0,1,0,0,0,0
"20",0,1,0,0,805,-110.391508,2.31616473937604,1,0,0,0,0,0,0,1,365,365,24.5,NA,2.26176309847379,1,NA,3.52929738428947,NA,6.55322089954252,45.25,NA,NA,NA,NA,NA,22,6.52576252705911,6.58340922215876,6.53777796380353,43.5,0.4,1459973.00958881,0.4375,0.19047619047619,0,0,0,0,0,0,0,0,1,0,0,1
"21",0,0,1,0,804,-117.73942,2.00381238243505,0,0,0,0,1,0,0,1,2740,2740,312,167.34,0,1,0.252001696502433,12.6760762747759,NA,15.8304135785065,50,NA,NA,NA,NA,306.6127,48.5,NA,NA,16.0207033049497,786.4655,0.2,136060676.846806,0.875,0.55952380952381,0,0,0,0,0,0,0,0,0,1,0,1
"22",1,0,0,0,814,-152.391588,3.86520200446037,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,48584700.732382,0.4375,0.202380952380952,1,0,0,0,1,0,0,1,0,0,0,0
"23",1,0,0,0,807,-124.717916,4.20661224942933,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60277675506052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0.166666666666667,116909724.980836,0.178571428571429,0.0537974683544304,0,0,0,0,1,0,0,1,0,0,0,1
"24",0,0,1,0,804,-128.36399,2.84359321885766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469488.494019831,0.125,0.0476190476190476,1,0,0,0,0,0,0,0,0,1,0,0
"25",0,0,1,0,804,-128.36399,2.84359321885767,1,0,0,0,0,0,0,1,548,365.25,277,182.64,0,1,0,9.25272913846797,NA,13.335282678753,20,NA,NA,306.77,311.15,277,20,NA,NA,NA,310,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0
"26",0,0,1,0,803,-127.15986,1.91237674008026,1,0,0,0,0,1,1,1,553.53384,NA,311,228.135,0.318453731118535,1,0.222458852961783,10.5320962119585,NA,13.6258628301959,34.9,NA,NA,NA,311.25,314.83246,31.883333,NA,NA,NA,282.476,0.1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0
"27",0,1,0,0,809,-119.37294,1.36178120138458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,1
"28",0,0,1,0,805,-134.08256,2.48966154335171,0,0,1,0,0,0,0,1,477,382,144,62,0.806475865866949,2,-0.798279566685737,3.30027146307219,4.57264699428253,5.54204755147063,22.791667,NA,NA,0.848,309.15,144,16.25,NA,5.76832099579377,5.24702407216049,30,0.4,943369.790290695,0.25,0.0833333333333333,1,0,0,0,0,1,0,0,0,1,0,0
"29",0,0,0,0,836,-108.549528,1.6988592984235,0,0,0,0,1,NA,NA,NA,1642,1095,NA,NA,2.56494935746154,NA,5.89989735358249,NA,NA,7.9550742732627,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,58859004.8540951,0.333333333333333,0.0775862068965517,0,0,0,0,0,0,0,0,0,0,0,1
